sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
宜蘭,宜蘭縣,54,細懸浮微粒,普通,1.3,0.28,32,31,32,19,4,5.7,1.1,0.6,186,"2024/12/22 13:00:00",0.2,16,29,1,121.746394,24.747917,65
冬山,宜蘭縣,52,細懸浮微粒,普通,1.5,0.28,34,34,31,13,3,4.4,0.9,2.3,296,"2024/12/22 13:00:00",0.2,15,31,1,121.792928,24.632203,66
三重,新北市,81,細懸浮微粒,普通,2.1,0.79,17,16,39,20,28,60.9,32.6,-,-,"2024/12/22 13:00:00",0.7,27,50,1,121.493806,25.072611,67
中壢,桃園市,85,細懸浮微粒,普通,0.5,0.44,27,24,44,21,16,24.8,8,1.3,51,"2024/12/22 13:00:00",0.4,29,56,1,121.221667,24.953278,68
竹山,南投縣,67,細懸浮微粒,普通,1.2,0.28,46,37,43,28,6,6.7,0.7,1.5,278,"2024/12/22 13:00:00",0.2,22,35,1,120.677306,23.756389,69
永和,新北市,72,細懸浮微粒,普通,1.2,0.46,28,30,42,24,12,15.9,3,1.7,92,"2024/12/22 13:00:00",0.4,24,50,0,121.516306,25.017,70
復興,高雄市,84,細懸浮微粒,普通,1.8,0.56,41,28,61,33,16,20.2,3.3,1.3,293,"2024/12/22 13:00:00",0.5,29,52,1,120.312017,22.608711,71
埔里,南投縣,65,細懸浮微粒,普通,1.5,0.25,36,18,19,16,2,3.9,1.6,3.1,280,"2024/12/22 13:00:00",0.3,21,24,1,120.967903,23.968842,72
馬祖,連江縣,131,細懸浮微粒,對敏感族群不健康,1.9,0.37,55,47,85,47,8,9.3,1.2,3.5,329,"2024/12/22 13:00:00",0.3,47,82,1,119.952724,26.153736,75
金門,金門縣,136,細懸浮微粒,對敏感族群不健康,2.4,0.43,63,48,84,54,9,10.8,1.1,2.5,73,"2024/12/22 13:00:00",0.4,49,79,2,118.312256,24.432133,77
馬公,澎湖縣,83,細懸浮微粒,普通,0.8,0.34,46,40,43,31,5,6.4,1.2,8.5,35,"2024/12/22 13:00:00",0.3,28,43,1,119.566158,23.569031,78
關山,臺東縣,37,,良好,0.7,0.27,41,40,26,7,3,4.7,1.3,3.5,36,"2024/12/22 13:00:00",0.2,7,22,0,121.161933,23.045083,80
麥寮,雲林縣,110,懸浮微粒,對敏感族群不健康,1.3,0.3,43,36,143,39,6,6.8,0.6,8.6,0,"2024/12/22 13:00:00",0.3,37,128,2,120.251825,23.753506,83
富貴角,新北市,88,細懸浮微粒,普通,0.4,0.25,49,41,69,25,3,3.1,0,10.3,40,"2024/12/22 13:00:00",0.2,30,73,0,121.53656894,25.29681695,84
大城,彰化縣,91,細懸浮微粒,普通,1.1,0.28,47,40,73,34,5,6.7,1.3,9.8,42,"2024/12/22 13:00:00",0.3,31,77,1,120.26964167,23.85493056,85
彰化（員林）,彰化縣,63,細懸浮微粒,普通,1.6,0.36,41,37,46,25,5,7,1.5,2.3,0,"2024/12/22 13:00:00",0.3,20,46,1,120.56373,23.96117,201
高雄（湖內）,高雄市,76,細懸浮微粒,普通,2.3,0.34,40,32,63,26,10,13.4,2.5,1.4,333,"2024/12/22 13:00:00",0.3,25,51,1,120.24535,22.87985556,202
臺南（麻豆）,臺南市,73,細懸浮微粒,普通,1.4,0.34,44,36,102,28,7,9.2,1.9,4.1,356,"2024/12/22 13:00:00",0.3,24,72,1,120.24583056,23.17904722,203
屏東（琉球）,屏東縣,108,細懸浮微粒,對敏感族群不健康,3.2,0.53,51,25,66,35,11,13.7,2,2.2,339,"2024/12/22 13:00:00",0.6,38,67,3,120.37722,22.35222,204
新北(樹林),新北市,70,細懸浮微粒,普通,0.9,0.34,25,24,42,20,12,17,4.1,0.1,157,"2024/12/22 13:00:00",0.3,23,46,0,121.38352778,24.94902778,311
花蓮（美崙）,花蓮縣,35,,良好,0.8,0.28,36,38,22,15,9,13.3,3.7,3.8,36,"2024/12/22 13:00:00",0.2,10,18,0,121.61575076,23.97709367,312
屏東(枋山),屏東縣,108,細懸浮微粒,對敏感族群不健康,4.1,0.62,69,39,84,52,11,13.1,1.5,1.3,300,"2024/12/22 13:00:00",0.3,38,75,0,120.651472,22.260899,313
